Tabelle: 46241-0006
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monate, Unfalltyp/Unfallart, Ortslage, Schwere der;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verletzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;2025;;;;;;;;;;;;2026;;;;;;;;;;;
;;;;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
;;;Verunglückte;Anzahl;4920;3513;4285;5493;6518;7507;7718;7712;6525;5282;4853;4406;5611;...;...;...;...;...;...;...;...;...;...;...
Abbiege-Unfall;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;7;3;11;9;9;13;7;8;14;5;8;3;7;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;7;3;11;9;9;14;7;8;14;6;9;3;7;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;245;170;276;306;314;290;317;309;315;238;291;206;159;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;251;188;289;321;321;299;334;324;325;259;302;212;172;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;1910;1561;2057;2305;2417;2444;2395;2257;2541;2272;2251;2000;1476;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;2332;1937;2489;2776;2898;2931;2881;2738;3065;2727;2711;2397;1789;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;2162;1734;2344;2620;2740;2747;2719;2574;2870;2515;2550;2209;1642;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;2590;2128;2789;3106;3228;3244;3222;3070;3404;2992;3022;2612;1968;...;...;...;...;...;...;...;...;...;...;...
;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;3;2;5;3;11;11;12;10;11;5;6;-;1;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;3;2;5;3;11;11;12;10;11;5;6;-;1;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;63;81;121;145;142;166;149;176;136;94;97;72;62;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;82;95;145;184;177;188;196;226;158;112;119;85;81;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;389;330;475;520;520;511;447;539;560;462;480;462;310;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;664;602;790;872;926;897;807;955;943;793;845;834;552;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;455;413;601;668;673;688;608;725;707;561;583;534;373;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;749;699;940;1059;1114;1096;1015;1191;1112;910;970;919;634;...;...;...;...;...;...;...;...;...;...;...
;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;-;1;-;-;-;-;1;-;1;1;-;1;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;-;1;-;-;-;-;1;-;1;1;-;1;-;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;5;7;6;2;7;8;6;7;9;9;7;7;6;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;5;8;8;2;10;11;10;9;12;13;10;12;7;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;5;8;6;2;7;8;7;7;10;10;7;8;6;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;5;9;8;2;10;11;11;9;13;14;10;13;7;...;...;...;...;...;...;...;...;...;...;...
;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;10;5;16;12;20;24;19;18;25;10;14;3;8;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;10;5;16;12;20;25;19;18;25;11;15;3;8;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;308;252;397;451;456;456;467;485;452;333;388;279;221;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;333;284;434;505;498;487;531;550;484;372;421;298;253;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;2304;1898;2538;2827;2944;2963;2848;2803;3110;2743;2738;2469;1792;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;3001;2547;3287;3650;3834;3839;3698;3702;4020;3533;3566;3243;2348;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;2622;2155;2951;3290;3420;3443;3334;3306;3587;3086;3140;2751;2021;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;3344;2836;3737;4167;4352;4351;4248;4270;4529;3916;4002;3544;2609;...;...;...;...;...;...;...;...;...;...;...
Einbiegen/Kreuzen-Unfall;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;13;13;8;14;11;18;12;17;17;12;11;8;5;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;13;13;9;14;11;18;13;18;17;12;13;8;5;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;269;229;379;485;525;536;497;558;478;397;330;242;156;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;293;240;395;517;557;571;518;580;504;412;346;254;173;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;2634;2309;3313;3821;4388;4661;4381;3924;4455;3843;3548;2861;1994;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;3238;2836;4056;4658;5268;5694;5286;4793;5318;4652;4296;3467;2551;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;2916;2551;3700;4320;4924;5215;4890;4499;4950;4252;3889;3111;2155;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;3544;3089;4460;5189;5836;6283;5817;5391;5839;5076;4655;3729;2729;...;...;...;...;...;...;...;...;...;...;...
;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;9;7;18;27;15;24;13;20;24;8;10;16;8;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;9;7;20;27;18;24;13;22;24;9;10;16;8;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;116;111;184;240;234;247;218;235;227;178;159;135;82;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;138;150;213;275;291;298;258;288;282;222;208;175;101;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;605;523;686;742;804;870;812;799;750;761;702;623;479;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;1024;880;1138;1227;1313;1422;1294;1276;1218;1226;1163;1050;810;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;730;641;888;1009;1053;1141;1043;1054;1001;947;871;774;569;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;1171;1037;1371;1529;1622;1744;1565;1586;1524;1457;1381;1241;919;...;...;...;...;...;...;...;...;...;...;...
