OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;USTRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
22;01210104171013852021;01;0;60;004;2021;01;14;2;3;2;2;0;1;0;1;0;0;0;0;558125.773280419409275;5974548.574447982013226;9.884977654000068;53.916089296000052
23;01210427171013902021;01;0;60;084;2021;04;14;3;3;9;1;0;0;0;0;0;1;0;0;574771.398000007495284;5969820.119999779388309;10.137207654000065;53.871463202000029
24;01210329152013982021;01;0;55;041;2021;03;06;2;3;8;7;1;1;0;1;0;0;0;0;606041.525043791159987;5993788.153589587658644;10.620960244000059;54.081354171000044
25;01210405105132372021;01;0;53;007;2021;04;16;2;3;8;1;0;2;0;1;0;0;0;0;600433.621170320548117;5936638.030557261779904;10.516608420000068;53.568985033000047
26;01210201152013562021;01;0;55;039;2021;02;05;2;2;5;3;2;1;0;1;0;0;0;0;616052.432044033892453;5995486.363305559381843;10.774561360000064;54.094451588000027
27;01210606171013312021;01;0;60;072;2021;06;10;1;3;0;7;0;1;0;0;0;1;0;0;583859.565491702407598;5995138.648284405469894;10.282365177000031;54.097578965000082
28;01210523145013412021;01;0;58;043;2021;05;07;1;2;8;1;0;1;0;1;0;0;0;0;554340.971424824558198;6035464.468801032751799;9.838365022000062;54.463931823000053
29;01210407171013092021;01;0;56;049;2021;04;06;4;3;5;2;0;0;0;1;0;0;0;0;543177.952877992764115;5949605.611216366291046;9.653915400000074;53.693372794000027
30;01210512125013932021;01;0;01;000;2021;05;12;4;3;2;6;0;0;0;1;0;0;0;1;525547.619723336771131;6068291.251471927389503;9.397024546000068;54.761203912000042
31;01210319134013712021;01;0;57;056;2021;03;15;6;3;2;2;0;0;0;1;0;0;0;0;585522.535601479932666;6025248.709347402676940;10.316370122000023;54.367850542000042
32;01210120134013682021;01;0;02;000;2021;01;01;4;3;9;1;2;1;0;1;0;0;0;0;572692.591255981475115;6020562.133158607408404;10.117792411000039;54.327730062000057
33;01210225171013362021;01;0;60;033;2021;02;11;5;3;8;7;0;0;0;1;0;0;0;0;559206.149569603614509;5983911.778254022821784;9.903241464000075;54.000112811000065
34;01210304134013602021;01;0;57;091;2021;03;17;5;2;2;6;0;0;0;1;0;0;0;1;582890.083644479513168;6013035.339042654260993;10.272471804000077;54.258545650000030
35;01210615171013192021;01;0;56;039;2021;06;16;3;3;2;2;0;0;0;1;0;0;0;0;550956.526000000536442;5944209.446999765932560;9.770822710000061;53.644173278000039
36;01210605152013892021;01;0;55;012;2021;06;16;7;3;5;3;0;0;0;0;0;0;0;1;605543.444619678892195;5997787.662645401433110;10.614745333000030;54.117388868000035
37;01210416125013032021;01;0;54;103;2021;04;12;6;3;5;3;0;0;1;1;0;0;0;0;478236.496000000275671;6040395.518999820575118;8.663855607000073;54.510688529000049
38;01210113161013162021;01;0;53;032;2021;01;17;4;3;2;2;2;2;0;1;0;0;0;0;590838.099729480221868;5921034.519365644082427;10.367238864000058;53.430519277000030
39;01210504134013042021;01;0;57;009;2021;05;10;3;2;5;3;0;1;0;1;0;0;0;0;596727.407089567743242;6000190.971694542095065;10.480687647000025;54.140715491000037
40;01210205171013392021;01;0;60;029;2021;02;15;6;3;7;7;0;0;0;1;0;0;0;0;580830.747976260259748;5966376.026415377855301;10.228435765000029;53.839605958000050
41;01210211145013312021;01;0;58;092;2021;02;12;5;3;5;3;0;0;0;1;0;0;0;0;571672.596789056435227;6022009.904376475140452;10.102459201000045;54.340883631000054
42;01210609181013782021;01;0;51;134;2021;06;13;4;3;8;6;0;0;0;1;0;0;0;1;506697.194192348979414;5988296.494014907628298;9.102275093000060;54.042872154000065
43;01210602161013622021;01;0;62;061;2021;06;15;4;3;9;1;0;0;0;1;0;0;0;0;597530.296571232378483;5964778.467665130272508;10.481637038000031;53.822385410000038
44;01210526171013562022;01;0;56;039;2021;05;11;4;3;8;6;0;1;0;0;0;1;0;1;552588.525573198683560;5946279.980830375105143;9.795857900000044;53.662620875000073
45;01210531125013002021;01;0;54;088;2021;05;21;2;3;4;6;0;0;0;0;0;0;0;1;488024.411734419874847;6073390.499702461063862;8.813680069000043;54.807536237000079
46;01210326161013532021;01;0;62;071;2021;03;10;6;3;2;6;0;0;0;1;0;0;0;0;580828.840779525227845;5941405.810878546908498;10.221882834000041;53.615217114000075
47;01210403105132972021;01;0;62;094;2021;04;11;7;3;2;6;0;0;0;1;0;0;0;0;600528.188682744279504;5964724.910404223948717;10.527144631000056;53.821333175000063
